,Questions,Ratings
128803,Recommend hospital - star rating,4
128804,Summary star rating,3
128809,Nurse communication - star rating,4
128823,Doctor communication - star rating,3
128837,Staff responsiveness - star rating,2
128848,Communication about medicines - star rating,2
128858,Discharge information - star rating,4
128867,Care transition - star rating,3
128881,Cleanliness - star rating,3
128886,Quietness - star rating,3
128891,Overall hospital rating - star rating,3
128896,Recommend hospital - star rating,3
128897,Summary star rating,3
128902,Nurse communication - star rating,3
128916,Doctor communication - star rating,3
128930,Staff responsiveness - star rating,2
128941,Communication about medicines - star rating,3
128951,Discharge information - star rating,3
128960,Care transition - star rating,3
128974,Cleanliness - star rating,4
128979,Quietness - star rating,3
128984,Overall hospital rating - star rating,3
128989,Recommend hospital - star rating,4
128990,Summary star rating,3
128995,Nurse communication - star rating,3
129009,Doctor communication - star rating,4
129023,Staff responsiveness - star rating,3
129034,Communication about medicines - star rating,2
129044,Discharge information - star rating,4
129053,Care transition - star rating,3
129067,Cleanliness - star rating,4
129072,Quietness - star rating,3
129077,Overall hospital rating - star rating,3
129082,Recommend hospital - star rating,3
129083,Summary star rating,3
129088,Nurse communication - star rating,4
129102,Doctor communication - star rating,3
129116,Staff responsiveness - star rating,4
129127,Communication about medicines - star rating,4
129137,Discharge information - star rating,4
129146,Care transition - star rating,3
129160,Cleanliness - star rating,4
129165,Quietness - star rating,4
129170,Overall hospital rating - star rating,4
129175,Recommend hospital - star rating,4
129176,Summary star rating,4
129181,Nurse communication - star rating,3
129195,Doctor communication - star rating,4
129209,Staff responsiveness - star rating,3
129220,Communication about medicines - star rating,3
129230,Discharge information - star rating,4
129239,Care transition - star rating,4
129253,Cleanliness - star rating,5
129258,Quietness - star rating,3
129263,Overall hospital rating - star rating,4
129268,Recommend hospital - star rating,4
129269,Summary star rating,4
129274,Nurse communication - star rating,4
129288,Doctor communication - star rating,3
129302,Staff responsiveness - star rating,3
129313,Communication about medicines - star rating,2
129323,Discharge information - star rating,3
129332,Care transition - star rating,3
129346,Cleanliness - star rating,4
129351,Quietness - star rating,3
129356,Overall hospital rating - star rating,4
129361,Recommend hospital - star rating,4
129362,Summary star rating,3
129367,Nurse communication - star rating,4
129381,Doctor communication - star rating,4
129395,Staff responsiveness - star rating,4
129406,Communication about medicines - star rating,3
129416,Discharge information - star rating,4
129425,Care transition - star rating,4
129439,Cleanliness - star rating,4
129444,Quietness - star rating,2
129449,Overall hospital rating - star rating,4
129454,Recommend hospital - star rating,5
129455,Summary star rating,4
129460,Nurse communication - star rating,4
129474,Doctor communication - star rating,4
129488,Staff responsiveness - star rating,3
129499,Communication about medicines - star rating,3
129509,Discharge information - star rating,4
129518,Care transition - star rating,4
129532,Cleanliness - star rating,4
129537,Quietness - star rating,3
129542,Overall hospital rating - star rating,4
129547,Recommend hospital - star rating,4
129548,Summary star rating,4
129553,Nurse communication - star rating,3
129567,Doctor communication - star rating,4
129581,Staff responsiveness - star rating,2
129592,Communication about medicines - star rating,2
129602,Discharge information - star rating,4
129611,Care transition - star rating,4
129625,Cleanliness - star rating,4
129630,Quietness - star rating,3
129635,Overall hospital rating - star rating,4
129640,Recommend hospital - star rating,4
129641,Summary star rating,3
129646,Nurse communication - star rating,5
129660,Doctor communication - star rating,5
129674,Staff responsiveness - star rating,5
129685,Communication about medicines - star rating,5
129695,Discharge information - star rating,5
129704,Care transition - star rating,5
129718,Cleanliness - star rating,5
129723,Quietness - star rating,5
129728,Overall hospital rating - star rating,5
129733,Recommend hospital - star rating,5
129734,Summary star rating,5
129739,Nurse communication - star rating,3
129753,Doctor communication - star rating,3
129767,Staff responsiveness - star rating,2
129778,Communication about medicines - star rating,2
129788,Discharge information - star rating,3
129797,Care transition - star rating,3
129811,Cleanliness - star rating,3
129816,Quietness - star rating,3
129821,Overall hospital rating - star rating,4
129826,Recommend hospital - star rating,4
129827,Summary star rating,3
129832,Nurse communication - star rating,3
129846,Doctor communication - star rating,3
129860,Staff responsiveness - star rating,3
129871,Communication about medicines - star rating,2
129881,Discharge information - star rating,4
129890,Care transition - star rating,3
129904,Cleanliness - star rating,3
129909,Quietness - star rating,2
129914,Overall hospital rating - star rating,4
129919,Recommend hospital - star rating,4
129920,Summary star rating,3
129925,Nurse communication - star rating,3
129939,Doctor communication - star rating,3
129953,Staff responsiveness - star rating,3
129964,Communication about medicines - star rating,3
129974,Discharge information - star rating,4
129983,Care transition - star rating,3
129997,Cleanliness - star rating,3
130002,Quietness - star rating,4
130007,Overall hospital rating - star rating,4
130012,Recommend hospital - star rating,3
130013,Summary star rating,3
130018,Nurse communication - star rating,5
130032,Doctor communication - star rating,3
130046,Staff responsiveness - star rating,5
130057,Communication about medicines - star rating,4
130067,Discharge information - star rating,4
130076,Care transition - star rating,3
130090,Cleanliness - star rating,5
130095,Quietness - star rating,5
130100,Overall hospital rating - star rating,4
130105,Recommend hospital - star rating,4
130106,Summary star rating,4
130111,Nurse communication - star rating,4
130125,Doctor communication - star rating,3
130139,Staff responsiveness - star rating,4
130150,Communication about medicines - star rating,4
130160,Discharge information - star rating,5
130169,Care transition - star rating,4
130183,Cleanliness - star rating,5
130188,Quietness - star rating,4
130193,Overall hospital rating - star rating,4
130198,Recommend hospital - star rating,4
130199,Summary star rating,4
130204,Nurse communication - star rating,4
130218,Doctor communication - star rating,4
130232,Staff responsiveness - star rating,4
130243,Communication about medicines - star rating,3
130253,Discharge information - star rating,5
130262,Care transition - star rating,4
130276,Cleanliness - star rating,2
130281,Quietness - star rating,4
130286,Overall hospital rating - star rating,4
130291,Recommend hospital - star rating,4
130292,Summary star rating,4
130297,Nurse communication - star rating,3
130311,Doctor communication - star rating,4
130325,Staff responsiveness - star rating,3
130336,Communication about medicines - star rating,2
130346,Discharge information - star rating,4
130355,Care transition - star rating,3
130369,Cleanliness - star rating,3
130374,Quietness - star rating,3
130379,Overall hospital rating - star rating,4
130384,Recommend hospital - star rating,5
130385,Summary star rating,3
130483,Nurse communication - star rating,2
130497,Doctor communication - star rating,3
130511,Staff responsiveness - star rating,2
130522,Communication about medicines - star rating,2
130532,Discharge information - star rating,3
130541,Care transition - star rating,3
130555,Cleanliness - star rating,2
130560,Quietness - star rating,2
130565,Overall hospital rating - star rating,3
130570,Recommend hospital - star rating,3
130571,Summary star rating,3
130576,Nurse communication - star rating,5
130590,Doctor communication - star rating,5
130604,Staff responsiveness - star rating,5
130615,Communication about medicines - star rating,4
130625,Discharge information - star rating,4
130634,Care transition - star rating,4
130648,Cleanliness - star rating,5
130653,Quietness - star rating,5
130658,Overall hospital rating - star rating,5
130663,Recommend hospital - star rating,5
130664,Summary star rating,5
130762,Nurse communication - star rating,3
130776,Doctor communication - star rating,3
130790,Staff responsiveness - star rating,3
130801,Communication about medicines - star rating,4
130811,Discharge information - star rating,4
130820,Care transition - star rating,4
130834,Cleanliness - star rating,2
130839,Quietness - star rating,3
130844,Overall hospital rating - star rating,4
130849,Recommend hospital - star rating,4
130850,Summary star rating,3
130855,Nurse communication - star rating,2
130869,Doctor communication - star rating,3
130883,Staff responsiveness - star rating,3
130894,Communication about medicines - star rating,2
130904,Discharge information - star rating,3
130913,Care transition - star rating,3
130927,Cleanliness - star rating,3
130932,Quietness - star rating,4
130937,Overall hospital rating - star rating,3
130942,Recommend hospital - star rating,3
130943,Summary star rating,3
131041,Nurse communication - star rating,4
131055,Doctor communication - star rating,3
131069,Staff responsiveness - star rating,3
131080,Communication about medicines - star rating,4
131090,Discharge information - star rating,2
131099,Care transition - star rating,3
131113,Cleanliness - star rating,5
131118,Quietness - star rating,4
131123,Overall hospital rating - star rating,4
131128,Recommend hospital - star rating,4
131129,Summary star rating,3
131971,Nurse communication - star rating,4
131985,Doctor communication - star rating,3
131999,Staff responsiveness - star rating,4
132010,Communication about medicines - star rating,3
132020,Discharge information - star rating,4
132029,Care transition - star rating,4
132043,Cleanliness - star rating,4
132048,Quietness - star rating,4
132053,Overall hospital rating - star rating,4
132058,Recommend hospital - star rating,4
132059,Summary star rating,4
132250,Nurse communication - star rating,3
132264,Doctor communication - star rating,4
132278,Staff responsiveness - star rating,3
132289,Communication about medicines - star rating,2
132299,Discharge information - star rating,4
132308,Care transition - star rating,3
132322,Cleanliness - star rating,4
132327,Quietness - star rating,3
132332,Overall hospital rating - star rating,3
132337,Recommend hospital - star rating,3
132338,Summary star rating,3
132436,Nurse communication - star rating,4
132450,Doctor communication - star rating,4
132464,Staff responsiveness - star rating,4
132475,Communication about medicines - star rating,4
132485,Discharge information - star rating,3
132494,Care transition - star rating,3
132508,Cleanliness - star rating,5
132513,Quietness - star rating,4
132518,Overall hospital rating - star rating,4
132523,Recommend hospital - star rating,4
132524,Summary star rating,4
132622,Nurse communication - star rating,5
132636,Doctor communication - star rating,4
132650,Staff responsiveness - star rating,5
132661,Communication about medicines - star rating,4
132671,Discharge information - star rating,5
132680,Care transition - star rating,4
132694,Cleanliness - star rating,5
132699,Quietness - star rating,3
132704,Overall hospital rating - star rating,4
132709,Recommend hospital - star rating,4
132710,Summary star rating,4
132715,Nurse communication - star rating,4
132729,Doctor communication - star rating,4
132743,Staff responsiveness - star rating,3
132754,Communication about medicines - star rating,2
132764,Discharge information - star rating,3
132773,Care transition - star rating,2
132787,Cleanliness - star rating,4
132792,Quietness - star rating,2
132797,Overall hospital rating - star rating,3
132802,Recommend hospital - star rating,2
132803,Summary star rating,3
132994,Nurse communication - star rating,5
133008,Doctor communication - star rating,4
133022,Staff responsiveness - star rating,5
133033,Communication about medicines - star rating,4
133043,Discharge information - star rating,5
133052,Care transition - star rating,4
133066,Cleanliness - star rating,5
133071,Quietness - star rating,5
133076,Overall hospital rating - star rating,4
133081,Recommend hospital - star rating,4
133082,Summary star rating,5
133087,Nurse communication - star rating,4
133101,Doctor communication - star rating,3
133115,Staff responsiveness - star rating,4
133126,Communication about medicines - star rating,4
133136,Discharge information - star rating,5
133145,Care transition - star rating,3
133159,Cleanliness - star rating,3
133164,Quietness - star rating,3
133169,Overall hospital rating - star rating,4
133174,Recommend hospital - star rating,4
133175,Summary star rating,4
133180,Nurse communication - star rating,5
133194,Doctor communication - star rating,3
133208,Staff responsiveness - star rating,4
133219,Communication about medicines - star rating,4
133229,Discharge information - star rating,4
133238,Care transition - star rating,4
133252,Cleanliness - star rating,5
133257,Quietness - star rating,4
133262,Overall hospital rating - star rating,3
133267,Recommend hospital - star rating,4
133268,Summary star rating,4
133738,Nurse communication - star rating,5
133752,Doctor communication - star rating,4
133766,Staff responsiveness - star rating,4
133777,Communication about medicines - star rating,3
133787,Discharge information - star rating,3
133796,Care transition - star rating,3
133810,Cleanliness - star rating,4
133815,Quietness - star rating,4
133820,Overall hospital rating - star rating,4
133825,Recommend hospital - star rating,4
133826,Summary star rating,4
133831,Nurse communication - star rating,5
133845,Doctor communication - star rating,4
133859,Staff responsiveness - star rating,5
133870,Communication about medicines - star rating,3
133880,Discharge information - star rating,5
133889,Care transition - star rating,4
133903,Cleanliness - star rating,4
133908,Quietness - star rating,3
133913,Overall hospital rating - star rating,5
133918,Recommend hospital - star rating,4
133919,Summary star rating,4
133924,Nurse communication - star rating,3
133938,Doctor communication - star rating,4
133952,Staff responsiveness - star rating,3
133963,Communication about medicines - star rating,2
133973,Discharge information - star rating,3
133982,Care transition - star rating,3
133996,Cleanliness - star rating,3
134001,Quietness - star rating,4
134006,Overall hospital rating - star rating,4
134011,Recommend hospital - star rating,4
134012,Summary star rating,3
134017,Nurse communication - star rating,5
134031,Doctor communication - star rating,5
134045,Staff responsiveness - star rating,5
134056,Communication about medicines - star rating,3
134066,Discharge information - star rating,4
134075,Care transition - star rating,4
134089,Cleanliness - star rating,4
134094,Quietness - star rating,3
134099,Overall hospital rating - star rating,4
134104,Recommend hospital - star rating,4
134105,Summary star rating,4
134296,Nurse communication - star rating,4
134310,Doctor communication - star rating,3
134324,Staff responsiveness - star rating,3
134335,Communication about medicines - star rating,4
134345,Discharge information - star rating,4
134354,Care transition - star rating,3
134368,Cleanliness - star rating,4
134373,Quietness - star rating,3
134378,Overall hospital rating - star rating,3
134383,Recommend hospital - star rating,2
134384,Summary star rating,3
134389,Nurse communication - star rating,5
134403,Doctor communication - star rating,4
134417,Staff responsiveness - star rating,4
134428,Communication about medicines - star rating,4
134438,Discharge information - star rating,5
134447,Care transition - star rating,4
134461,Cleanliness - star rating,4
134466,Quietness - star rating,5
134471,Overall hospital rating - star rating,5
134476,Recommend hospital - star rating,5
134477,Summary star rating,4
134575,Nurse communication - star rating,4
134589,Doctor communication - star rating,3
134603,Staff responsiveness - star rating,3
134614,Communication about medicines - star rating,3
134624,Discharge information - star rating,5
134633,Care transition - star rating,3
134647,Cleanliness - star rating,4
134652,Quietness - star rating,2
134657,Overall hospital rating - star rating,3
134662,Recommend hospital - star rating,3
134663,Summary star rating,3
134668,Nurse communication - star rating,4
134682,Doctor communication - star rating,4
134696,Staff responsiveness - star rating,4
134707,Communication about medicines - star rating,3
134717,Discharge information - star rating,4
134726,Care transition - star rating,3
134740,Cleanliness - star rating,5
134745,Quietness - star rating,3
134750,Overall hospital rating - star rating,4
134755,Recommend hospital - star rating,3
134756,Summary star rating,4
134761,Nurse communication - star rating,4
134775,Doctor communication - star rating,3
134789,Staff responsiveness - star rating,3
134800,Communication about medicines - star rating,3
134810,Discharge information - star rating,4
134819,Care transition - star rating,3
134833,Cleanliness - star rating,3
134838,Quietness - star rating,4
134843,Overall hospital rating - star rating,4
134848,Recommend hospital - star rating,4
134849,Summary star rating,3
134854,Nurse communication - star rating,3
134868,Doctor communication - star rating,4
134882,Staff responsiveness - star rating,2
134893,Communication about medicines - star rating,3
134903,Discharge information - star rating,4
134912,Care transition - star rating,3
134926,Cleanliness - star rating,1
134931,Quietness - star rating,4
134936,Overall hospital rating - star rating,3
134941,Recommend hospital - star rating,4
134942,Summary star rating,3
134947,Nurse communication - star rating,4
134961,Doctor communication - star rating,4
134975,Staff responsiveness - star rating,2
134986,Communication about medicines - star rating,4
134996,Discharge information - star rating,4
135005,Care transition - star rating,4
135019,Cleanliness - star rating,4
135024,Quietness - star rating,4
135029,Overall hospital rating - star rating,4
135034,Recommend hospital - star rating,4
135035,Summary star rating,4
135040,Nurse communication - star rating,3
135054,Doctor communication - star rating,3
135068,Staff responsiveness - star rating,4
135079,Communication about medicines - star rating,2
135089,Discharge information - star rating,4
135098,Care transition - star rating,3
135112,Cleanliness - star rating,4
135117,Quietness - star rating,4
135122,Overall hospital rating - star rating,3
135127,Recommend hospital - star rating,4
135128,Summary star rating,3
135133,Nurse communication - star rating,3
135147,Doctor communication - star rating,3
135161,Staff responsiveness - star rating,2
135172,Communication about medicines - star rating,3
135182,Discharge information - star rating,4
135191,Care transition - star rating,3
135205,Cleanliness - star rating,3
135210,Quietness - star rating,2
135215,Overall hospital rating - star rating,3
135220,Recommend hospital - star rating,4
135221,Summary star rating,3
135226,Nurse communication - star rating,5
135240,Doctor communication - star rating,4
135254,Staff responsiveness - star rating,4
135265,Communication about medicines - star rating,4
135275,Discharge information - star rating,4
135284,Care transition - star rating,4
135298,Cleanliness - star rating,5
135303,Quietness - star rating,4
135308,Overall hospital rating - star rating,4
135313,Recommend hospital - star rating,4
135314,Summary star rating,4
135319,Nurse communication - star rating,4
135333,Doctor communication - star rating,4
135347,Staff responsiveness - star rating,3
135358,Communication about medicines - star rating,3
135368,Discharge information - star rating,4
135377,Care transition - star rating,4
135391,Cleanliness - star rating,5
135396,Quietness - star rating,5
135401,Overall hospital rating - star rating,4
135406,Recommend hospital - star rating,4
135407,Summary star rating,4
135412,Nurse communication - star rating,4
135426,Doctor communication - star rating,4
135440,Staff responsiveness - star rating,3
135451,Communication about medicines - star rating,3
135461,Discharge information - star rating,4
135470,Care transition - star rating,4
135484,Cleanliness - star rating,4
135489,Quietness - star rating,4
135494,Overall hospital rating - star rating,4
135499,Recommend hospital - star rating,4
135500,Summary star rating,4
135505,Nurse communication - star rating,3
135519,Doctor communication - star rating,3
135533,Staff responsiveness - star rating,4
135544,Communication about medicines - star rating,4
135554,Discharge information - star rating,4
135563,Care transition - star rating,4
135577,Cleanliness - star rating,4
135582,Quietness - star rating,3
135587,Overall hospital rating - star rating,4
135592,Recommend hospital - star rating,4
135593,Summary star rating,4
135598,Nurse communication - star rating,4
135612,Doctor communication - star rating,4
135626,Staff responsiveness - star rating,4
135637,Communication about medicines - star rating,4
135647,Discharge information - star rating,4
135656,Care transition - star rating,4
135670,Cleanliness - star rating,5
135675,Quietness - star rating,4
135680,Overall hospital rating - star rating,4
135685,Recommend hospital - star rating,5
135686,Summary star rating,4
135691,Nurse communication - star rating,3
135705,Doctor communication - star rating,3
135719,Staff responsiveness - star rating,2
135730,Communication about medicines - star rating,3
135740,Discharge information - star rating,3
135749,Care transition - star rating,3
135763,Cleanliness - star rating,4
135768,Quietness - star rating,3
135773,Overall hospital rating - star rating,2
135778,Recommend hospital - star rating,3
135779,Summary star rating,3
135784,Nurse communication - star rating,3
135798,Doctor communication - star rating,3
135812,Staff responsiveness - star rating,2
135823,Communication about medicines - star rating,3
135833,Discharge information - star rating,4
135842,Care transition - star rating,3
135856,Cleanliness - star rating,4
135861,Quietness - star rating,1
135866,Overall hospital rating - star rating,4
135871,Recommend hospital - star rating,4
135872,Summary star rating,3
135877,Nurse communication - star rating,3
135891,Doctor communication - star rating,3
135905,Staff responsiveness - star rating,3
135916,Communication about medicines - star rating,3
135926,Discharge information - star rating,4
135935,Care transition - star rating,3
135949,Cleanliness - star rating,3
135954,Quietness - star rating,2
135959,Overall hospital rating - star rating,3
135964,Recommend hospital - star rating,3
135965,Summary star rating,3
135970,Nurse communication - star rating,3
135984,Doctor communication - star rating,3
135998,Staff responsiveness - star rating,2
136009,Communication about medicines - star rating,3
136019,Discharge information - star rating,4
136028,Care transition - star rating,3
136042,Cleanliness - star rating,4
136047,Quietness - star rating,4
136052,Overall hospital rating - star rating,3
136057,Recommend hospital - star rating,3
136058,Summary star rating,3
136063,Nurse communication - star rating,5
136077,Doctor communication - star rating,4
136091,Staff responsiveness - star rating,4
136102,Communication about medicines - star rating,4
136112,Discharge information - star rating,4
136121,Care transition - star rating,4
136135,Cleanliness - star rating,4
136140,Quietness - star rating,3
136145,Overall hospital rating - star rating,4
136150,Recommend hospital - star rating,5
136151,Summary star rating,4
136156,Nurse communication - star rating,4
136170,Doctor communication - star rating,3
136184,Staff responsiveness - star rating,2
136195,Communication about medicines - star rating,3
136205,Discharge information - star rating,4
136214,Care transition - star rating,4
136228,Cleanliness - star rating,3
136233,Quietness - star rating,4
136238,Overall hospital rating - star rating,4
136243,Recommend hospital - star rating,4
136244,Summary star rating,3
136249,Nurse communication - star rating,5
136263,Doctor communication - star rating,4
136277,Staff responsiveness - star rating,4
136288,Communication about medicines - star rating,4
136298,Discharge information - star rating,4
136307,Care transition - star rating,3
136321,Cleanliness - star rating,4
136326,Quietness - star rating,3
136331,Overall hospital rating - star rating,4
136336,Recommend hospital - star rating,3
136337,Summary star rating,4
136342,Nurse communication - star rating,3
136356,Doctor communication - star rating,3
136370,Staff responsiveness - star rating,2
136381,Communication about medicines - star rating,3
136391,Discharge information - star rating,4
136400,Care transition - star rating,3
136414,Cleanliness - star rating,3
136419,Quietness - star rating,4
136424,Overall hospital rating - star rating,4
136429,Recommend hospital - star rating,4
136430,Summary star rating,3
136435,Nurse communication - star rating,2
136449,Doctor communication - star rating,2
136463,Staff responsiveness - star rating,2
136474,Communication about medicines - star rating,2
136484,Discharge information - star rating,3
136493,Care transition - star rating,2
136507,Cleanliness - star rating,2
136512,Quietness - star rating,2
136517,Overall hospital rating - star rating,3
136522,Recommend hospital - star rating,3
136523,Summary star rating,2
136528,Nurse communication - star rating,2
136542,Doctor communication - star rating,2
136556,Staff responsiveness - star rating,2
136567,Communication about medicines - star rating,2
136577,Discharge information - star rating,3
136586,Care transition - star rating,1
136600,Cleanliness - star rating,1
136605,Quietness - star rating,3
136610,Overall hospital rating - star rating,1
136615,Recommend hospital - star rating,1
136616,Summary star rating,2
136621,Nurse communication - star rating,3
136635,Doctor communication - star rating,2
136649,Staff responsiveness - star rating,2
136660,Communication about medicines - star rating,3
136670,Discharge information - star rating,4
136679,Care transition - star rating,2
136693,Cleanliness - star rating,3
136698,Quietness - star rating,4
136703,Overall hospital rating - star rating,3
136708,Recommend hospital - star rating,3
136709,Summary star rating,3
136714,Nurse communication - star rating,4
136728,Doctor communication - star rating,4
136742,Staff responsiveness - star rating,3
136753,Communication about medicines - star rating,3
136763,Discharge information - star rating,4
136772,Care transition - star rating,4
136786,Cleanliness - star rating,4
136791,Quietness - star rating,4
136796,Overall hospital rating - star rating,4
136801,Recommend hospital - star rating,4
136802,Summary star rating,4
136807,Nurse communication - star rating,4
136821,Doctor communication - star rating,3
136835,Staff responsiveness - star rating,3
136846,Communication about medicines - star rating,3
136856,Discharge information - star rating,4
136865,Care transition - star rating,3
136879,Cleanliness - star rating,4
136884,Quietness - star rating,3
136889,Overall hospital rating - star rating,4
136894,Recommend hospital - star rating,4
136895,Summary star rating,3
136900,Nurse communication - star rating,5
136914,Doctor communication - star rating,4
136928,Staff responsiveness - star rating,4
136939,Communication about medicines - star rating,4
136949,Discharge information - star rating,4
136958,Care transition - star rating,4
136972,Cleanliness - star rating,4
136977,Quietness - star rating,4
136982,Overall hospital rating - star rating,4
136987,Recommend hospital - star rating,4
136988,Summary star rating,4
136993,Nurse communication - star rating,5
137007,Doctor communication - star rating,4
137021,Staff responsiveness - star rating,3
137032,Communication about medicines - star rating,3
137042,Discharge information - star rating,4
137051,Care transition - star rating,4
137065,Cleanliness - star rating,4
137070,Quietness - star rating,3
137075,Overall hospital rating - star rating,4
137080,Recommend hospital - star rating,4
137081,Summary star rating,4
137086,Nurse communication - star rating,5
137100,Doctor communication - star rating,5
137114,Staff responsiveness - star rating,4
137125,Communication about medicines - star rating,4
137135,Discharge information - star rating,5
137144,Care transition - star rating,4
137158,Cleanliness - star rating,4
137163,Quietness - star rating,4
137168,Overall hospital rating - star rating,5
137173,Recommend hospital - star rating,5
137174,Summary star rating,5
137179,Nurse communication - star rating,2
137193,Doctor communication - star rating,3
137207,Staff responsiveness - star rating,2
137218,Communication about medicines - star rating,2
137228,Discharge information - star rating,4
137237,Care transition - star rating,3
137251,Cleanliness - star rating,2
137256,Quietness - star rating,2
137261,Overall hospital rating - star rating,3
137266,Recommend hospital - star rating,3
137267,Summary star rating,3
137272,Nurse communication - star rating,4
137286,Doctor communication - star rating,4
137300,Staff responsiveness - star rating,4
137311,Communication about medicines - star rating,4
137321,Discharge information - star rating,4
137330,Care transition - star rating,4
137344,Cleanliness - star rating,4
137349,Quietness - star rating,5
137354,Overall hospital rating - star rating,4
137359,Recommend hospital - star rating,4
137360,Summary star rating,4
137365,Nurse communication - star rating,2
137379,Doctor communication - star rating,2
137393,Staff responsiveness - star rating,1
137404,Communication about medicines - star rating,1
137414,Discharge information - star rating,2
137423,Care transition - star rating,2
137437,Cleanliness - star rating,2
137442,Quietness - star rating,2
137447,Overall hospital rating - star rating,2
137452,Recommend hospital - star rating,2
137453,Summary star rating,2
137551,Nurse communication - star rating,5
137565,Doctor communication - star rating,4
137579,Staff responsiveness - star rating,5
137590,Communication about medicines - star rating,5
137600,Discharge information - star rating,4
137609,Care transition - star rating,5
137623,Cleanliness - star rating,4
137628,Quietness - star rating,5
137633,Overall hospital rating - star rating,5
137638,Recommend hospital - star rating,4
137639,Summary star rating,5
137644,Nurse communication - star rating,5
137658,Doctor communication - star rating,4
137672,Staff responsiveness - star rating,4
137683,Communication about medicines - star rating,4
137693,Discharge information - star rating,4
137702,Care transition - star rating,4
137716,Cleanliness - star rating,5
137721,Quietness - star rating,5
137726,Overall hospital rating - star rating,5
137731,Recommend hospital - star rating,5
137732,Summary star rating,4
138016,Nurse communication - star rating,5
138030,Doctor communication - star rating,5
138044,Staff responsiveness - star rating,5
138055,Communication about medicines - star rating,5
138065,Discharge information - star rating,5
138074,Care transition - star rating,5
138088,Cleanliness - star rating,5
138093,Quietness - star rating,5
138098,Overall hospital rating - star rating,5
138103,Recommend hospital - star rating,5
138104,Summary star rating,5
141085,Nurse communication - star rating,5
141099,Doctor communication - star rating,5
141113,Staff responsiveness - star rating,4
141124,Communication about medicines - star rating,5
141134,Discharge information - star rating,4
141143,Care transition - star rating,4
141157,Cleanliness - star rating,4
141162,Quietness - star rating,4
141167,Overall hospital rating - star rating,5
141172,Recommend hospital - star rating,5
141173,Summary star rating,5
141457,Nurse communication - star rating,4
141471,Doctor communication - star rating,4
141485,Staff responsiveness - star rating,5
141496,Communication about medicines - star rating,4
141506,Discharge information - star rating,4
141515,Care transition - star rating,3
141529,Cleanliness - star rating,4
141534,Quietness - star rating,4
141539,Overall hospital rating - star rating,5
141544,Recommend hospital - star rating,4
141545,Summary star rating,4
141736,Nurse communication - star rating,4
141750,Doctor communication - star rating,4
141764,Staff responsiveness - star rating,3
141775,Communication about medicines - star rating,3
141785,Discharge information - star rating,5
141794,Care transition - star rating,4
141808,Cleanliness - star rating,4
141813,Quietness - star rating,4
141818,Overall hospital rating - star rating,4
141823,Recommend hospital - star rating,4
141824,Summary star rating,4
142387,Nurse communication - star rating,5
142401,Doctor communication - star rating,5
142415,Staff responsiveness - star rating,3
142426,Communication about medicines - star rating,4
142436,Discharge information - star rating,2
142445,Care transition - star rating,4
142459,Cleanliness - star rating,4
142464,Quietness - star rating,4
142469,Overall hospital rating - star rating,4
142474,Recommend hospital - star rating,5
142475,Summary star rating,4
142759,Nurse communication - star rating,4
142773,Doctor communication - star rating,4
142787,Staff responsiveness - star rating,5
142798,Communication about medicines - star rating,3
142808,Discharge information - star rating,3
142817,Care transition - star rating,3
142831,Cleanliness - star rating,5
142836,Quietness - star rating,5
142841,Overall hospital rating - star rating,4
142846,Recommend hospital - star rating,4
142847,Summary star rating,4
142945,Nurse communication - star rating,4
142959,Doctor communication - star rating,5
142973,Staff responsiveness - star rating,3
142984,Communication about medicines - star rating,3
142994,Discharge information - star rating,4
143003,Care transition - star rating,4
143017,Cleanliness - star rating,5
143022,Quietness - star rating,3
143027,Overall hospital rating - star rating,5
143032,Recommend hospital - star rating,4
143033,Summary star rating,4
143038,Nurse communication - star rating,5
143052,Doctor communication - star rating,5
143066,Staff responsiveness - star rating,4
143077,Communication about medicines - star rating,5
143087,Discharge information - star rating,4
143096,Care transition - star rating,5
143110,Cleanliness - star rating,5
143115,Quietness - star rating,4
143120,Overall hospital rating - star rating,5
143125,Recommend hospital - star rating,5
143126,Summary star rating,5
143224,Nurse communication - star rating,4
143238,Doctor communication - star rating,5
143252,Staff responsiveness - star rating,3
143263,Communication about medicines - star rating,3
143273,Discharge information - star rating,4
143282,Care transition - star rating,4
143296,Cleanliness - star rating,3
143301,Quietness - star rating,4
143306,Overall hospital rating - star rating,4
143311,Recommend hospital - star rating,4
143312,Summary star rating,4
143317,Nurse communication - star rating,4
143331,Doctor communication - star rating,2
143345,Staff responsiveness - star rating,5
143356,Communication about medicines - star rating,3
143366,Discharge information - star rating,3
143375,Care transition - star rating,3
143389,Cleanliness - star rating,4
143394,Quietness - star rating,3
143399,Overall hospital rating - star rating,4
143404,Recommend hospital - star rating,3
143405,Summary star rating,3
143410,Nurse communication - star rating,3
143424,Doctor communication - star rating,2
143438,Staff responsiveness - star rating,3
143449,Communication about medicines - star rating,2
143459,Discharge information - star rating,4
143468,Care transition - star rating,3
143482,Cleanliness - star rating,3
143487,Quietness - star rating,3
143492,Overall hospital rating - star rating,4
143497,Recommend hospital - star rating,4
143498,Summary star rating,3
143503,Nurse communication - star rating,5
143517,Doctor communication - star rating,4
143531,Staff responsiveness - star rating,5
143542,Communication about medicines - star rating,5
143552,Discharge information - star rating,4
143561,Care transition - star rating,4
143575,Cleanliness - star rating,4
